"Property","Field","Profile","UTMZone","Eastings_UTM","Northings_UTM","Eastings_AA","Northings_AA","Longitude","Latitude","mid_depth","Ca_Soln","S","Na_Soln","pH","EC","Cl","ECse","NO3N","Ex_Ca","Ex_Mg","Ex_Na","Ex_K","ESP","EMgP","CEC","ADMC","Coarse_sand","Fine_sand","Silt","Clay","P","OC","Cu","Zn","Mn","Fe","BD","VM_W","VM_D","PAWC"
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,0.05,85.25,42,39.83,7.5,0.1,20,0.42251381,20,25.9,8.92,0.2,1.02,0.5,20.74418605,43,5.7,4,30,19,50,85,1.44,2.9,1.5,17.7,18.9,1.433409844,0.407490898,0.2529251,15.4565798
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,0.2,361.1,42,100.95,8.6,0.16,20,0.612840618,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.429000647,0.407490898,0.28157994,25.1821916
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,0.4,295.8,42,182.55,8.8,0.16,20,0.612840618,7,21.4,12.9,0.69,0.29,1.7,32.25,40,4.9,9,27,17,50,NA,NA,NA,NA,NA,NA,1.510174885,0.426926088,0.311312305,23.1227566
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,0.6,222.1,42,344.95,9,0.18,20,0.674085886,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.388179036,0.402004851,0.281942948,24.0123806
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,0.8,168.4,42,557,9.2,0.22,20,0.767668404,1,18,18.9,2.61,0.28,6.1,43.95348837,43,5,6,18,19,56,NA,NA,NA,NA,NA,NA,1.440170345,0.38610871,0.285144437,20.1928546
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,1,154.2,57.4,740,9.2,0.24,20,0.825087892,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.527826908,0.359224468,0.31025502,9.7938896
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,1.2,150.55,87.35,903.5,9.3,0.27,27,0.95801915,1,14.8,19,4.31,0.32,10,44.18604651,43,3.7,6,21,17,56,NA,NA,NA,NA,NA,NA,1.570100439,0.359233211,0.300651559,11.7163304
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,1.4,121.5,236.55,931.5,9.3,0.37,75,1.509217358,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.590915369,0.351323443,0.326446289,4.9754308
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,0.05,230.2,42,151.15,8.7,0.13,20,0.489219736,9,51.1,12.5,0.75,0.61,1.2,20.49180328,61,4.5,8,18,13,60,2,1.76,2.4,0.8,10.4,17.8,1.374152859,0.410048363,0.256341911,15.3706452
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,0.2,222.85,42,337.35,8.8,0.14,20,0.519263142,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.345432904,0.410048363,0.280178655,25.9739416
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,0.4,157.5,42,633,9,0.19,20,0.66594798,11,38,14.8,3.29,0.3,5.9,26.42857143,56,4.6,8,12,15,60,NA,NA,NA,NA,NA,NA,1.340784084,0.438557706,0.306162776,26.478986
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,0.6,93.35,42,839,9.1,0.23,20,0.779994533,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.380983174,0.432632874,0.321351904,22.256194
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,0.8,64.9,52,1001,9.2,0.3,74,1.226880417,8,27.3,17.7,6.9,0.28,11.9,30.51724138,58,4.7,7,15,13,63,NA,NA,NA,NA,NA,NA,1.410690909,0.43147862,0.333826534,19.5304172
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,1,70.05,198,1297.5,9.1,0.47,244,2.327337525,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.411619578,0.422216936,0.344449152,15.5535568
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,1.2,63.2,414.25,1448.5,8.9,0.73,516,3.977012934,13,23.1,18.1,7.84,0.53,14.5,33.51851852,54,3.4,8,12,13,63,NA,NA,NA,NA,NA,NA,1.369094519,0.41207955,0.349204114,12.5750872
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,1.4,63,674.5,1670,8.8,0.89,658,4.921267523,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.324806467,0.397540553,0.357191221,8.0698664
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,0.05,42.58,42,86.7,8.2,0.09,20,0.426005337,11,15.9,7.42,0.4,0.3,1.4,25.5862069,29,1.5,29,24,6,38,7,1.39,1.5,0.8,24.3,11.4,1.590338742,0.32911,0.149382022,17.9727978
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,0.2,34.97,42,127.4,8.3,0.06,20,0.315901851,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.553761807,0.329109664,0.225820642,20.6578044
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,0.4,47.815,42,199.45,8.6,0.09,24,0.421818632,9,12.8,11.8,2.65,0.13,11,49.16666667,24,2.9,28,18,8,45,NA,NA,NA,NA,NA,NA,1.529945318,0.370435762,0.256828448,22.7214628
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,0.6,40.615,45.07,339.7,9,0.19,49,0.883089943,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.508324451,0.351273254,0.223069679,25.640715
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,0.8,48.585,112.25,897,9.2,0.4,138,1.945546584,22,9.22,14.9,4.97,0.18,15.1,45.15151515,33,3,22,18,9,49,NA,NA,NA,NA,NA,NA,1.512080295,0.351273254,0.35837576,0
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,1,44.275,261.1,716,9,0.52,308,2.967741441,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.494461972,0.351273254,0.350373537,0.1799434
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,1.2,52,436.4,824,8.5,0.68,547,4.206114374,43,7.73,16.3,6.41,0.23,17.8,45.27777778,36,3,20,14,13,52,NA,NA,NA,NA,NA,NA,1.474907516,0.345056527,0.340698584,0.8715886
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,1.4,35.215,665.5,1068.5,7.8,0.71,583,4.42458384,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.488703788,0.342171867,0.304582782,7.517817
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,0.05,222.35,42,112.5,8.5,0.13,20,0.503380029,5,40.9,10.9,0.49,0.73,0.9,19.46428571,56,4.5,12,19,13,55,1,1.73,2.1,1,14.9,17.4,1.373688921,0.4252,0.221394117,20.3805883
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,0.2,214.85,42,289,8.8,0.13,20,0.503380029,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.342647751,0.425266208,0.29233638,26.5859656
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,0.4,158.15,42,547.5,8.9,0.18,20,0.64383753,8,31,13.2,2.43,0.23,4.7,25.38461538,52,6.6,12,19,14,58,NA,NA,NA,NA,NA,NA,1.34232975,0.413528578,0.308366783,21.032359
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,0.6,101.2,42,806,9.1,0.23,30,0.847556573,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.413912328,0.400427108,0.337804286,12.5245644
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,0.8,99.15,70.2,1130,9.2,0.3,70,1.232719225,7,26.8,16.7,6.27,0.22,11.6,30.92592593,54,8.2,12,18,14,60,NA,NA,NA,NA,NA,NA,1.451365604,0.419068015,0.357255489,12.3625052
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,1,125.2,214.3,1663,9.1,0.44,190,2.108170978,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.435341376,0.399425834,0.367328748,6.4194172
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,1.2,87.45,375.05,1579,9,0.64,360,3.288643103,15,25,18.2,8.29,0.28,16.3,35.68627451,51,4.2,10,13,12,61,NA,NA,NA,NA,NA,NA,1.401328663,0.379202563,0.411240674,0
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,1.4,72.25,465.65,1553,8.9,0.8,569,4.428172577,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.377467746,0.382093527,0.389052881,0
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,0.05,78.4,42,21.15,7.6,0.06,20,0.313156566,2,25.7,5.03,0.14,0.54,0.4,13.23684211,38,3.3,10,36,17,39,49,1.19,2.3,1.7,18.5,14.6,1.366306281,0.229902946,0.143157217,8.6745729
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,0.2,196.05,42,28.315,8.3,0.12,20,0.526741607,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.477992696,0.357914146,0.18425245,34.7323392
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,0.4,249.25,42,31.085,8.3,0.13,20,0.556395294,14,28.5,3.86,0.15,0.39,0.6,14.2962963,27,3.4,12,27,17,40,NA,NA,NA,NA,NA,NA,1.512904799,0.357914146,0.157148848,40.1530596
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,0.6,161.45,42,34.555,8.3,0.1,20,0.45414445,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.482281904,0.349090793,0.224445489,24.9290608
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,0.8,140.25,42,24.76,8.5,0.08,20,0.427565613,2,18.3,3.45,0.12,0.33,0.4,11.89655172,29,2.7,41,18,9,28,NA,NA,NA,NA,NA,NA,1.42790484,0.193502065,0.243596206,0
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,1,227.5,42,23.35,8.8,0.09,20,0.466235405,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.502918635,0.273283663,0.19779757,15.0972186
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,1.2,281.35,42,26.785,8.6,0.12,20,0.57873125,9,19.7,6.64,0.13,0.33,0.2,18.97142857,35,2.7,28,31,10,28,NA,NA,NA,NA,NA,NA,1.509635039,0.165062089,0.210538872,0
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,1.4,306.65,42,31.715,8.7,0.12,20,0.57873125,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.198181848,0.21278594,0
"Grandview","155",8,56,251626.4099,7306078.639,1855653.562,-2763471.573,150.552091,-24.33876884,0.05,191.15,42,176.7,8.6,0.16,20,0.588127466,13,41,12.2,0.92,0.63,1.7,22.59259259,54,4.7,9,18,17,57,5,1.56,2.3,2.4,13,19.4,1.44061077,0.342879071,0.280455832,6.2423239
